sgg_cd,legal_dong,bjdong_cd
11110,가회동,14600
11110,견지동,12900
11110,경운동,13400
11110,계동,14800
11110,관수동,15500
11110,관철동,13500
11110,교북동,18000
11110,구기동,18200
11110,낙원동,13700
11110,내수동,11800
11110,누상동,10900
11110,누하동,11000
11110,돈의동,15300
11110,동숭동,16800
11110,명륜1가,17000
11110,명륜2가,17100
11110,명륜3가,17300
11110,명륜4가,17200
11110,무악동,18700
11110,부암동,18400
11110,사직동,11500
11110,삼청동,14000
11110,수송동,12400
11110,숭인동,17500
11110,신교동,10200
11110,신문로1가,12000
11110,신문로2가,12100
11110,신영동,18600
11110,안국동,14100
11110,연건동,16600
11110,연지동,16000
11110,옥인동,11100
11110,운니동,13200
11110,원남동,15900
11110,원서동,14900
11110,이화동,16500
11110,익선동,13300
11110,인사동,13600
11110,인의동,15700
11110,적선동,10700
11110,종로1가,12600
11110,종로5가,16300
11110,창성동,10500
11110,창신동,17400
11110,청운동,10100
11110,체부동,11200
11110,충신동,16700
11110,통의동,10600
11110,통인동,10800
11110,평창동,18300
11110,필운동,11300
11110,행촌동,18100
11110,혜화동,16900
11110,홍지동,18500
11110,홍파동,17900
11110,화동,14300
11110,효자동,10400
11110,효제동,16200
11140,광희동1가,14500
11140,광희동2가,14600
11140,남대문로5가,11800
11140,남산동2가,12900
11140,남창동,11200
11140,만리동1가,17300
11140,만리동2가,17400
11140,무학동,16400
11140,묵정동,13600
11140,북창동,11300
11140,순화동,16800
11140,신당동,16200
11140,쌍림동,14700
11140,예장동,14200
11140,오장동,15400
11140,을지로2가,10500
11140,을지로4가,15000
11140,을지로5가,15100
11140,을지로6가,14800
11140,의주로1가,16900
11140,장충동1가,14300
11140,장충동2가,14400
11140,저동2가,16100
11140,중림동,17100
11140,충무로2가,12500
11140,충무로3가,15800
11140,충무로5가,13300
11140,필동1가,13700
11140,필동2가,13800
11140,필동3가,13900
11140,황학동,16500
11140,회현동1가,12100
11140,회현동2가,12200
11140,회현동3가,12300
11140,흥인동,16300
11170,갈월동,10400
11170,남영동,10500
11170,도원동,12000
11170,동빙고동,13200
11170,동자동,10700
11170,문배동,12200
11170,보광동,13600
11170,산천동,11500
11170,서계동,10800
11170,서빙고동,13300
11170,신계동,12300
11170,신창동,11400
11170,용문동,12100
11170,용산동2가,10200
11170,용산동3가,12600
11170,용산동5가,12700
11170,원효로1가,11200
11170,원효로2가,11300
11170,원효로3가,11700
11170,원효로4가,11800
11170,이촌동,12900
11170,이태원동,13000
11170,주성동,13400
11170,청파동1가,10900
11170,청파동2가,11000
11170,청파동3가,11100
11170,한강로1가,12400
11170,한강로2가,12500
11170,한강로3가,12800
11170,한남동,13100
11170,효창동,11900
11170,후암동,10100
11200,금호동1가,10900
11200,금호동2가,11000
11200,금호동3가,11100
11200,금호동4가,11200
11200,도선동,10400
11200,마장동,10500
11200,사근동,10600
11200,상왕십리동,10100
11200,성수동1가,11400
11200,성수동2가,11500
11200,송정동,11800
11200,옥수동,11300
11200,용답동,12200
11200,응봉동,10800
11200,하왕십리동,10200
11200,행당동,10700
11200,홍익동,10300
11215,광장동,10400
11215,구의동,10300
11215,군자동,10900
11215,능동,10200
11215,자양동,10500
11215,중곡동,10100
11215,화양동,10700
11230,답십리동,10500
11230,신설동,10100
11230,용두동,10200
11230,이문동,11000
11230,장안동,10600
11230,전농동,10400
11230,제기동,10300
11230,청량리동,10700
11230,회기동,10800
11230,휘경동,10900
11260,망우동,10500
11260,면목동,10100
11260,묵동,10400
11260,상봉동,10200
11260,신내동,10600
11260,중화동,10300
11290,길음동,13400
11290,돈암동,10300
11290,동선동1가,11600
11290,동선동2가,11700
11290,동선동3가,11800
11290,동선동4가,11900
11290,동선동5가,12000
11290,동소문동1가,10400
11290,동소문동4가,10700
11290,동소문동6가,10900
11290,동소문동7가,11000
11290,보문동1가,13000
11290,보문동2가,13100
11290,보문동3가,13200
11290,보문동4가,12600
11290,보문동5가,12700
11290,보문동6가,12800
11290,보문동7가,12900
11290,삼선동1가,11100
11290,삼선동2가,11200
11290,삼선동3가,11300
11290,삼선동4가,11400
11290,삼선동5가,11500
11290,상월곡동,13700
11290,석관동,13900
11290,성북동,10100
11290,성북동1가,10200
11290,안암동1가,12100
11290,안암동2가,12200
11290,안암동3가,12300
11290,안암동4가,12400
11290,안암동5가,12500
11290,장위동,13800
11290,정릉동,13300
11290,종암동,13500
11290,하월곡동,13600
11305,미아동,10100
11305,번동,10200
11305,수유동,10300
11305,우이동,10400
11320,도봉동,10800
11320,방학동,10600
11320,쌍문동,10500
11320,창동,10700
11350,공릉동,10300
11350,상계동,10500
11350,월계동,10200
11350,중계동,10600
11350,하계동,10400
11380,갈현동,10400
11380,구산동,10500
11380,녹번동,10200
11380,대조동,10600
11380,불광동,10300
11380,수색동,10100
11380,신사동,10900
11380,역촌동,10800
11380,응암동,10700
11380,증산동,11000
11380,진관동,11400
11410,남가좌동,12000
11410,냉천동,10500
11410,대신동,11300
11410,대현동,11200
11410,미근동,10400
11410,봉원동,11500
11410,북가좌동,11900
11410,북아현동,11000
11410,신촌동,11400
11410,연희동,11700
11410,영천동,10800
11410,옥천동,10700
11410,창천동,11600
11410,천연동,10600
11410,충정로2가,10100
11410,충정로3가,10200
11410,합동,10300
11410,홍은동,11800
11410,홍제동,11100
11440,공덕동,10200
11440,구수동,11300
11440,노고산동,11000
11440,당인동,11800
11440,대흥동,10800
11440,도화동,10400
11440,동교동,12100
11440,마포동,10700
11440,망원동,12300
11440,상수동,11500
11440,상암동,12700
11440,서교동,12000
11440,성산동,12500
11440,신공덕동,10300
11440,신수동,11100
11440,신정동,11700
11440,아현동,10100
11440,연남동,12400
11440,염리동,10900
11440,용강동,10500
11440,중동,12600
11440,창전동,11400
11440,토정동,10600
11440,하중동,11600
11440,합정동,12200
11440,현석동,11200
11470,목동,10200
11470,신월동,10300
11470,신정동,10100
11500,가양동,10400
11500,개화동,11000
11500,공항동,10800
11500,내발산동,10600
11500,등촌동,10200
11500,마곡동,10500
11500,방화동,10900
11500,염창동,10100
11500,외발산동,10700
11500,화곡동,10300
11530,가리봉동,10300
11530,개봉동,10700
11530,고척동,10600
11530,구로동,10200
11530,궁동,10900
11530,신도림동,10100
11530,오류동,10800
11530,온수동,11000
11530,천왕동,11100
11530,항동,11200
11545,가산동,10100
11545,독산동,10200
11545,시흥동,10300
11560,당산동,11700
11560,당산동1가,11100
11560,당산동2가,11200
11560,당산동3가,11300
11560,당산동4가,11400
11560,당산동5가,11500
11560,당산동6가,11600
11560,대림동,13300
11560,도림동,11800
11560,문래동1가,11900
11560,문래동3가,12100
11560,문래동5가,12300
11560,문래동6가,12400
11560,신길동,13200
11560,양평동1가,12500
11560,양평동2가,12600
11560,양평동3가,12700
11560,양평동4가,12800
11560,양평동5가,12900
11560,양평동6가,13000
11560,여의도동,11000
11560,영등포동,10100
11560,영등포동1가,10200
11560,영등포동2가,10300
11560,영등포동3가,10400
11560,영등포동4가,10500
11560,영등포동5가,10600
11560,영등포동6가,10700
11560,영등포동7가,10800
11560,영등포동8가,10900
11590,노량진동,10100
11590,대방동,10800
11590,동작동,10600
11590,본동,10400
11590,사당동,10700
11590,상도1동,10300
11590,상도동,10200
11590,신대방동,10900
11590,흑석동,10500
11620,남현동,10300
11620,봉천동,10100
11620,신림동,10200
11650,내곡동,10900
11650,반포동,10700
11650,방배동,10100
11650,서초동,10800
11650,신원동,11100
11650,양재동,10200
11650,염곡동,11000
11650,우면동,10300
11650,잠원동,10600
11680,개포동,10300
11680,논현동,10800
11680,대치동,10600
11680,도곡동,11800
11680,삼성동,10500
11680,세곡동,11100
11680,수서동,11500
11680,신사동,10700
11680,역삼동,10100
11680,율현동,11300
11680,일원동,11400
11680,자곡동,11200
11680,청담동,10400
11710,가락동,10700
11710,거여동,11300
11710,마천동,11400
11710,문정동,10800
11710,방이동,11100
11710,삼전동,10600
11710,석촌동,10500
11710,송파동,10400
11710,신천동,10200
11710,오금동,11200
11710,잠실동,10100
11710,풍납동,10300
11740,강일동,11000
11740,고덕동,10200
11740,길동,10500
11740,둔촌동,10600
11740,명일동,10100
11740,상일동,10300
11740,성내동,10800
11740,암사동,10700
11740,천호동,10900
26110,남포동6가,14100
26110,대창동1가,10200
26110,대청동1가,11600
26110,대청동2가,11700
26110,대청동3가,11800
26110,대청동4가,11900
26110,동광동3가,11300
26110,동광동5가,11500
26110,보수동1가,12000
26110,보수동2가,12100
